frame_index,source_time_s,bbox_xywh,update_s,decode_s,calibrated_confidence,guarded_states,guarded_events,localization_accepted
20,0.4,"[306.0, 70.0, 262.0, 264.0]",0.016580333991441876,0.00020341703202575445,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.3583138173302108, 0.14583333333333334, 0.6651053864168618, 0.6958333333333333], 'timestamp': 0.4, 'evidence_id': 'ego:21', 'visibility': 'visible', 'confidence': 0.7786875288051456, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.22131247119485442, 'visible_fraction': 1.0, 'relative_motion': 0.0022744558370299765, 'camera_compensated': True, 'total_area_ratio': 1.0473652408300556}]",[],True
21,0.42,"[308.0, 70.0, 262.0, 264.0]",0.016773874987848103,0.0002264580107294023,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.36065573770491804, 0.14583333333333334, 0.667447306791569, 0.6958333333333333], 'timestamp': 0.42, 'evidence_id': 'ego:22', 'visibility': 'visible', 'confidence': 0.7840820097113662, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.2159179902886338, 'visible_fraction': 1.0, 'relative_motion': 0.0022062277552230606, 'camera_compensated': True, 'total_area_ratio': 1.0473652408300556}]",[],True
22,0.44,"[310.0, 66.0, 266.0, 268.0]",0.016239082964602858,0.0002037919475696981,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.3629976580796253, 0.1375, 0.6744730679156908, 0.6958333333333333], 'timestamp': 0.44, 'evidence_id': 'ego:23', 'visibility': 'visible', 'confidence': 0.8019399711278564, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.19806002887214355, 'visible_fraction': 1.0, 'relative_motion': 0.003018661175807947, 'camera_compensated': True, 'total_area_ratio': 1.0794669975753675}]",[],True
23,0.46,"[314.0, 66.0, 266.0, 268.0]",0.015662833000533283,0.00021495798137038946,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.36768149882903983, 0.1375, 0.6791569086651054, 0.6958333333333333], 'timestamp': 0.46, 'evidence_id': 'ego:24', 'visibility': 'visible', 'confidence': 0.807549637914234, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.1924503620857661, 'visible_fraction': 1.0, 'relative_motion': 0.004401373910168347, 'camera_compensated': True, 'total_area_ratio': 1.0794669975753675}]",[],True
24,0.48,"[314.0, 62.00000000000001, 266.0, 268.0]",0.021073041018098593,0.00018262502271682024,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.36768149882903983, 0.12916666666666668, 0.6791569086651054, 0.6875], 'timestamp': 0.48, 'evidence_id': 'ego:25', 'visibility': 'visible', 'confidence': 0.812485530077402, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.187514469922598, 'visible_fraction': 1.0, 'relative_motion': 0.006441635749831954, 'camera_compensated': True, 'total_area_ratio': 1.0794669975753675}]",[],True
25,0.5,"[316.0, 62.00000000000001, 266.0, 268.0]",0.017508832970634103,0.0002538330154493451,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.3700234192037471, 0.12916666666666668, 0.6814988290398126, 0.6875], 'timestamp': 0.5, 'evidence_id': 'ego:26', 'visibility': 'visible', 'confidence': 0.8068608915431013, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.1931391084568988, 'visible_fraction': 1.0, 'relative_motion': 0.0024603296891321266, 'camera_compensated': True, 'total_area_ratio': 1.0794669975753675}]",[],True
26,0.52,"[314.0, 58.0, 272.0, 274.0]",0.017163833021186292,0.00021279201610013843,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.36768149882903983, 0.12083333333333333, 0.6861826697892272, 0.6916666666666667], 'timestamp': 0.52, 'evidence_id': 'ego:27', 'visibility': 'visible', 'confidence': 0.8043368819606219, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.19566311803937805, 'visible_fraction': 1.0, 'relative_motion': 0.0023842918814829034, 'camera_compensated': True, 'total_area_ratio': 1.1285281729785797}]",[],True
27,0.54,"[312.0, 58.0, 272.0, 274.0]",0.016712833021301776,0.0001812499831430614,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.36533957845433257, 0.12083333333333333, 0.6838407494145199, 0.6916666666666667], 'timestamp': 0.54, 'evidence_id': 'ego:28', 'visibility': 'visible', 'confidence': 0.799383362254693, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.200616637745307, 'visible_fraction': 1.0, 'relative_motion': 0.002415842257955957, 'camera_compensated': True, 'total_area_ratio': 1.1285281729785797}]",[],True
28,0.56,"[314.0, 60.0, 266.0, 268.0]",0.016435166995506734,0.00021408399334177375,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.36768149882903983, 0.125, 0.6791569086651054, 0.6833333333333333], 'timestamp': 0.56, 'evidence_id': 'ego:29', 'visibility': 'visible', 'confidence': 0.7900534140701923, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.20994658592980775, 'visible_fraction': 1.0, 'relative_motion': 0.000950395389184629, 'camera_compensated': True, 'total_area_ratio': 1.0794669975753675}]",[],True
29,0.58,"[312.0, 58.0, 272.0, 274.0]",0.017171833023894578,0.00028962496435269713,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.36533957845433257, 0.12083333333333333, 0.6838407494145199, 0.6916666666666667], 'timestamp': 0.58, 'evidence_id': 'ego:30', 'visibility': 'visible', 'confidence': 0.7908596765039317, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.20914032349606831, 'visible_fraction': 1.0, 'relative_motion': 0.0037786331956956676, 'camera_compensated': True, 'total_area_ratio': 1.1285281729785797}]",[],True
30,0.6,"[310.0, 58.0, 272.0, 274.0]",0.01830320799490437,0.0001599160023033619,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.3629976580796253, 0.12083333333333333, 0.6814988290398126, 0.6916666666666667], 'timestamp': 0.6, 'evidence_id': 'ego:31', 'visibility': 'visible', 'confidence': 0.7890387348512964, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.21096126514870361, 'visible_fraction': 1.0, 'relative_motion': 0.0006336246038896927, 'camera_compensated': True, 'total_area_ratio': 1.1285281729785797}]",[],True
